,fold,decision_tree_exclusion_baseline_x,svm_exclusion_baseline_x,group,decision_tree_exclusion_baseline_y,svm_exclusion_baseline_y,decision_tree_exclusion_baseline_x,svm_exclusion_baseline_x,decision_tree_exclusion_baseline_y,svm_exclusion_baseline_y,decision_tree_exclusion_baseline,svm_exclusion_baseline
0,Fold-0,0.4,0.5636363636363636,games.csv,0.4,0.5636363636363636,0.41818181818181815,0.5636363636363636,0.3818181818181817,0.5636363636363636,0.3818181818181817,0.5818181818181818
1,Fold-1,0.3953488372093023,0.4651162790697674,games.csv,0.3953488372093023,0.4418604651162791,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.372093023255814
2,Fold-2,0.0,0.6,games.csv,0.625,0.55,0.6,0.55,0.0,0.55,0.0,0.575
3,Fold-0,0.56,0.6,mdwe.csv,0.44,0.6,0.56,0.6,0.32,0.6,0.32,0.6
4,Fold-1,0.5294117647058824,0.5294117647058824,mdwe.csv,0.29411764705882354,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.4117647058823529
5,Fold-2,0.5,0.65,mdwe.csv,0.5,0.65,0.5,0.65,0.5,0.65,0.5,0.65
6,Fold-0,0.5185185185185185,0.5925925925925926,pair.csv,0.3333333333333333,0.5925925925925926,0.4814814814814815,0.6296296296296297,0.4814814814814815,0.5925925925925926,0.4444444444444444,0.6296296296296297
7,Fold-1,0.4642857142857143,0.6607142857142857,pair.csv,0.5178571428571429,0.6607142857142857,0.5357142857142857,0.6785714285714286,0.5357142857142857,0.6607142857142857,0.5178571428571429,0.6607142857142857
8,Fold-2,0.5106382978723404,0.6382978723404256,pair.csv,0.44680851063829785,0.6170212765957447,0.5319148936170213,0.6170212765957447,0.425531914893617,0.6382978723404256,0.3191489361702128,0.6595744680851063
9,Fold-0,0.7692307692307693,0.8974358974358975,testing.csv,0.8461538461538461,0.8974358974358975,0.8461538461538461,0.8974358974358975,0.8461538461538461,0.8974358974358975,0.8461538461538461,0.8974358974358975
10,Fold-1,0.8333333333333334,0.8809523809523809,testing.csv,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.9523809523809524,0.8095238095238095,0.9523809523809524,0.8095238095238095,0.9523809523809524
11,Fold-2,0.5294117647058824,0.9411764705882352,testing.csv,0.5294117647058824,0.9411764705882352,0.5294117647058824,0.9411764705882352,0.5294117647058824,0.9411764705882352,0.5294117647058824,0.9411764705882352
12,Fold-0,0.7941176470588235,0.8529411764705882,illiterate.csv,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882
13,Fold-1,0.7021276595744681,0.8085106382978723,illiterate.csv,0.7021276595744681,0.8085106382978723,0.7021276595744681,0.8085106382978723,0.7021276595744681,0.8085106382978723,0.7021276595744681,0.8085106382978723
14,Fold-2,0.8571428571428571,0.8857142857142857,illiterate.csv,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8857142857142857
15,Fold-0,0.65625,0.84375,ontologies.csv,0.65625,0.8125,0.65625,0.8125,0.6875,0.8125,0.71875,0.8125
16,Fold-1,0.7619047619047619,0.873015873015873,ontologies.csv,0.7460317460317459,0.8412698412698413,0.7460317460317459,0.8571428571428571,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.8888888888888888
17,Fold-2,0.6909090909090909,0.8909090909090909,ontologies.csv,0.8,0.9272727272727272,0.8181818181818182,0.9454545454545454,0.8181818181818182,0.9454545454545454,0.8181818181818182,0.9454545454545454
18,Fold-0,0.0,0.375,slr.csv,0.0,0.375,0.0,0.375,0.0,0.25,0.0,0.375
19,Fold-1,0.0,0.18181818181818185,slr.csv,0.0,0.18181818181818185,0.0,0.2727272727272727,0.0,0.18181818181818185,0.0,0.3636363636363637
20,Fold-2,0.0,0.0,slr.csv,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.125
21,Fold-0,0.7804878048780488,0.7804878048780488,xbi.csv,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488
22,Fold-1,0.7910447761194029,0.8955223880597015,xbi.csv,0.7910447761194029,0.8955223880597015,0.7910447761194029,0.8955223880597015,0.7910447761194029,0.8955223880597015,0.7910447761194029,0.9104477611940298
23,Fold-2,0.7454545454545455,0.8,xbi.csv,0.7454545454545455,0.7636363636363637,0.7454545454545455,0.8181818181818182,0.7454545454545455,0.8181818181818182,0.7454545454545455,0.8181818181818182
